scenario,bundle,algorithm,best_objective,mean_objective,mean_runtime,delta_vs_best
baseline:med42,baseline,bayes,-472.1730000000001,-733.4258000000002,0.9348,-493.3010000000001
baseline:med42,baseline,grid,-740.8010000000003,-808.2117500000002,0.58975,-761.9290000000003
baseline:med42,baseline,ils,-988.6070000000001,-988.6070000000001,0.707,-1009.7350000000001
baseline:med42,baseline,random,-668.5890000000002,-812.1705000000002,0.45999999999999996,-689.7170000000002
baseline:med42,baseline,tabu,21.128,21.128,2.114,0.0
baseline:minitoy,baseline,bayes,38.0,11.666666666666666,0.09559999999999999,0.0
baseline:minitoy,baseline,grid,15.5,9.75,0.0725,-22.5
baseline:minitoy,baseline,ils,10.5,10.5,0.129,-27.5
baseline:minitoy,baseline,random,35.5,17.125,0.08299999999999999,-2.5
baseline:minitoy,baseline,tabu,16.5,16.5,0.075,-21.5
baseline:small21,baseline,bayes,9.075000000000017,-35.83339999999997,0.23826666666666665,-3.576999999999982
baseline:small21,baseline,grid,-11.22799999999998,-25.394749999999977,0.1825,-23.87999999999998
baseline:small21,baseline,ils,-117.863,-117.863,0.295,-130.515
baseline:small21,baseline,random,-46.28399999999999,-70.442,0.19,-58.93599999999999
baseline:small21,baseline,tabu,12.652,12.652,0.266,0.0
