from_block,to_block,distance_m
B01,B02,162
B01,B03,174
B01,B04,186
B01,B05,198
B01,B06,210
B01,B07,222
B01,B08,234
B01,B09,246
B01,B10,258
B01,B11,270
B01,B12,282
B01,B13,294
B01,B14,306
B01,B15,318
B01,B16,330
B01,B17,342
B01,B18,354
B01,B19,366
B01,B20,378
B01,B21,390
B01,B22,402
B01,B23,414
B01,B24,426
B01,B25,438
B01,B26,450
B01,B27,462
B01,B28,474
B01,B29,486
B01,B30,498
B01,B31,510
B01,B32,522
B01,B33,534
B01,B34,546
B01,B35,558
B01,B36,570
B01,B37,582
B01,B38,594
B01,B39,606
B01,B40,618
B02,B01,162
B02,B03,162
B02,B04,174
B02,B05,186
B02,B06,198
B02,B07,210
B02,B08,222
B02,B09,234
B02,B10,246
B02,B11,258
B02,B12,270
B02,B13,282
B02,B14,294
B02,B15,306
B02,B16,318
B02,B17,330
B02,B18,342
B02,B19,354
B02,B20,366
B02,B21,378
B02,B22,390
B02,B23,402
B02,B24,414
B02,B25,426
B02,B26,438
B02,B27,450
B02,B28,462
B02,B29,474
B02,B30,486
B02,B31,498
B02,B32,510
B02,B33,522
B02,B34,534
B02,B35,546
B02,B36,558
B02,B37,570
B02,B38,582
B02,B39,594
B02,B40,606
B03,B01,174
B03,B02,162
B03,B04,162
B03,B05,174
B03,B06,186
B03,B07,198
B03,B08,210
B03,B09,222
B03,B10,234
B03,B11,246
B03,B12,258
B03,B13,270
B03,B14,282
B03,B15,294
B03,B16,306
B03,B17,318
B03,B18,330
B03,B19,342
B03,B20,354
B03,B21,366
B03,B22,378
B03,B23,390
B03,B24,402
B03,B25,414
B03,B26,426
B03,B27,438
B03,B28,450
B03,B29,462
B03,B30,474
B03,B31,486
B03,B32,498
B03,B33,510
B03,B34,522
B03,B35,534
B03,B36,546
B03,B37,558
B03,B38,570
B03,B39,582
B03,B40,594
B04,B01,186
B04,B02,174
B04,B03,162
B04,B05,162
B04,B06,174
B04,B07,186
B04,B08,198
B04,B09,210
B04,B10,222
B04,B11,234
B04,B12,246
B04,B13,258
B04,B14,270
B04,B15,282
B04,B16,294
B04,B17,306
B04,B18,318
B04,B19,330
B04,B20,342
B04,B21,354
B04,B22,366
B04,B23,378
B04,B24,390
B04,B25,402
B04,B26,414
B04,B27,426
B04,B28,438
B04,B29,450
B04,B30,462
B04,B31,474
B04,B32,486
B04,B33,498
B04,B34,510
B04,B35,522
B04,B36,534
B04,B37,546
B04,B38,558
B04,B39,570
B04,B40,582
B05,B01,198
B05,B02,186
B05,B03,174
B05,B04,162
B05,B06,162
B05,B07,174
B05,B08,186
B05,B09,198
B05,B10,210
B05,B11,222
B05,B12,234
B05,B13,246
B05,B14,258
B05,B15,270
B05,B16,282
B05,B17,294
B05,B18,306
B05,B19,318
B05,B20,330
B05,B21,342
B05,B22,354
B05,B23,366
B05,B24,378
B05,B25,390
B05,B26,402
B05,B27,414
B05,B28,426
B05,B29,438
B05,B30,450
B05,B31,462
B05,B32,474
B05,B33,486
B05,B34,498
B05,B35,510
B05,B36,522
