day,shift_id,machine_id,machine_role,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,sequencing_violations,blackout_conflicts,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,S1,H1,feller_buncher,0,1194.708925,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
1,S1,H2,feller_buncher,0,813.2038300000002,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
2,S1,H3,grapple_skidder,0,1438.0865290000004,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H2,feller_buncher,0,1185.8830549999989,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
3,S1,H3,grapple_skidder,0,569.8262259999997,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H4,processor,0,298.43407700000034,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H5,processor,0,569.826226,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H6,processor,0,569.826226,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H1,feller_buncher,0,1220.906942000001,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
4,S1,H3,grapple_skidder,0,1185.8830549999989,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
4,S1,H4,processor,0,569.8262259999997,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H7,loader,0,0.0,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H8,loader,0,937.184825,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H9,loader,0,133.54310500000034,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
5,S1,H3,grapple_skidder,0,1220.906942000001,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
5,S1,H5,processor,0,531.8959330000002,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
5,S1,H6,processor,0,279.20626499999935,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
5,S1,H8,loader,0,937.1848249999997,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
6,S1,H4,processor,0,531.895933,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
6,S1,H5,processor,0,531.8959330000005,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
6,S1,H6,processor,0,531.8959329999998,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
7,S1,H7,loader,0,802.411354,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
7,S1,H8,loader,0,802.411354,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
7,S1,H9,loader,0,801.9672889999999,24.0,0.0,53.24,0,0,24.0,1.0,0.0,0,0.0
